time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
5/1/21,2.54,98.80,2,2.40,,,,,,,,,,,,,,,,,
5/3/21,2.61,97.78,1,2.60,,,,,,,,,,,,,,,,,
5/3/21,2.35,98.93,1,3.00,,,,,,,,,,,,,,,,,
5/5/21,2.61,98.92,3,2.60,,,,,,,,,,,,,,,,,
5/5/21,2.49,98.95,10,1.10,,,,,,,,,,,,,,,,,
5/6/21,2.59,98.82,4,1.60,,,,,,,,,,,,,,,,,
5/6/21,2.58,98.83,10,1.70,,,,,,,,,,,,,,,,,
5/6/21,2.53,98.84,10,1.70,,,,,,,,,,,,,,,,,
5/6/21,2.60,98.80,7,1.90,,,,,,,,,,,,,,,,,
5/7/21,2.39,98.89,10,2.60,,,,,,,,,,,,,,,,,
5/10/21,2.84,98.51,5,2.20,,,,,,,,,,,,,,,,,
5/10/21,2.52,98.79,3,2.50,,,,,,,,,,,,,,,,,
5/10/21,2.46,98.80,2,1.90,,,,,,,,,,,,,,,,,
5/10/21,2.52,98.81,5,2.40,,,,,,,,,,,,,,,,,
5/10/21,2.41,98.85,3,2.40,,,,,,,,,,,,,,,,,
5/10/21,2.52,98.77,3,3.4,,,,,,,,,,,,,,,,,
5/10/21,2.49,98.87,5,2.5,,,,,,,,,,,,,,,,,
5/10/21,2.49,98.84,5,2.2,,,,,,,,,,,,,,,,,
5/10/21,2.54,98.76,3,2.8,,,,,,,,,,,,,,,,,
5/10/21,2.53,98.8,2,2.3,,,,,,,,,,,,,,,,,
5/10/21,2.5,98.84,5,1.6,,,,,,,,,,,,,,,,,
5/10/21,2.49,98.83,2,2.5,,,,,,,,,,,,,,,,,
5/10/21,2.48,98.85,8,2,,,,,,,,,,,,,,,,,
5/10/21,2.52,98.82,2,2.5,,,,,,,,,,,,,,,,,
5/10/21,2.52,98.86,4,2.3,,,,,,,,,,,,,,,,,
5/10/21,2.45,98.84,5,1.7,,,,,,,,,,,,,,,,,
5/10/21,2.48,98.87,8,1.8,,,,,,,,,,,,,,,,,
5/10/21,2.67,98.65,2,2.1,,,,,,,,,,,,,,,,,
5/10/21,2.54,98.79,3,2.5,,,,,,,,,,,,,,,,,
5/10/21,2.54,98.64,4,1.5,,,,,,,,,,,,,,,,,
5/10/21,2.58,98.65,3,0.9,,,,,,,,,,,,,,,,,
5/10/21,2.54,98.67,2,1.6,,,,,,,,,,,,,,,,,
5/10/21,2.52,98.81,3,1.6,,,,,,,,,,,,,,,,,
5/10/21,2.46,98.85,3,1.9,,,,,,,,,,,,,,,,,
5/10/21,2.55,98.81,6,2.1,,,,,,,,,,,,,,,,,
5/10/21,2.45,98.9,5,1.7,,,,,,,,,,,,,,,,,
5/10/21,2.5,98.83,6,2,,,,,,,,,,,,,,,,,
5/10/21,2.51,98.81,5,1.6,,,,,,,,,,,,,,,,,
5/10/21,2.64,98.7,3,1.4,,,,,,,,,,,,,,,,,
5/10/21,2.63,98.67,3,1.6,,,,,,,,,,,,,,,,,
5/10/21,2.37,98.93,8,1.6,,,,,,,,,,,,,,,,,
